service_id,date,exception_type
S,20260106,2
S6,20260106,2
D,20260106,2
D6,20260106,2
S,20260405,2
S6,20260405,2
D,20260405,2
D6,20260405,2
S,20260501,2
S6,20260501,2
D,20260501,2
D6,20260501,2
S,20260503,2
S6,20260503,2
D,20260503,2
D6,20260503,2
S,20260604,2
S6,20260604,2
D,20260604,2
D6,20260604,2
S,20260815,2
S6,20260815,2
D,20260815,2
D6,20260815,2
S,20261111,2
S6,20261111,2
D,20261111,2
D6,20261111,2
S,20261225,2
S6,20261225,2
D,20261225,2
D6,20261225,2
S,20261226,2
S6,20261226,2
D,20261226,2
D6,20261226,2
