service_id,date,exception_type
S,20260106,2
D,20260106,2
E,20260106,2
EF,20260106,2
E7,20260106,2
S,20260405,2
D,20260405,2
E,20260405,2
EF,20260405,2
E7,20260405,2
S,20260501,2
D,20260501,2
E,20260501,2
EF,20260501,2
E7,20260501,2
S,20260503,2
D,20260503,2
E,20260503,2
EF,20260503,2
E7,20260503,2
S,20260604,2
D,20260604,2
E,20260604,2
EF,20260604,2
E7,20260604,2
S,20260815,2
D,20260815,2
E,20260815,2
EF,20260815,2
E7,20260815,2
S,20261111,2
D,20261111,2
E,20261111,2
E7,20261111,2
S,20261225,2
D,20261225,2
E,20261225,2
EF,20261225,2
E7,20261225,2
S,20261226,2
D,20261226,2
E,20261226,2
EF,20261226,2
E7,20261226,2
F,20261111,1
F,20261224,1
EF,20261224,1
