stop_id,stop_lat,stop_lon,stop_name,stop_desc,location_type,parent_station,platform_code
0774919-1,53.810813,14.966587,Kłęby,pozycja nie zweryfikowana,,,
0775267-1,53.60654,14.91295,Glewice,pozycja nie zweryfikowana,,,
0775698-1,53.84536,15.23321,Barkowo skrzyż.,pozycja nie zweryfikowana,,,
0775853-1,53.871957,15.215517,Lubiń skrzyż.,pozycja nie zweryfikowana,,,
0778403-1,53.71388,15.59295,Bełczna,pozycja nie zweryfikowana,,,
0778432-1,53.651830,15.592110,Dalno skrzyż.,pozycja nie zweryfikowana,,,
0778544-1,53.70062,15.60460,Poradz,pozycja nie zweryfikowana,,,
0778857-1,53.544426,15.172269,Bagna,pozycja nie zweryfikowana,,,
0778870-1,53.53018,15.00226,Budzieszowce,pozycja nie zweryfikowana,,,
0778886-1,53.47859,15.034468,Darż,pozycja nie zweryfikowana,,,
0778886-2,53.47808,15.058844,Darż skrzyż.,pozycja nie zweryfikowana,,,
0778900-1,53.46457,14.97233,Dąbrowica,pozycja nie zweryfikowana,,,
0778917-1,53.53577,15.11998,Dębice,pozycja nie zweryfikowana,,,
0778917-2,53.54301,15.13186,Dębice Osiedle,pozycja nie zweryfikowana,,,
0778923-1,53.511250,14.982852,Dobrosławiec,pozycja nie zweryfikowana,,,
0778930-1,53.556027,15.084668,Godowo,pozycja nie zweryfikowana,,,
0778946-1,53.52977,15.01226,Jarosławki,pozycja nie zweryfikowana,,,
0778952-1,53.57764,15.13605,Jenikowo,pozycja nie zweryfikowana,,,
0778969-1,53.55171,15.12624,Bęczno,pozycja nie zweryfikowana,,,
0778975-1,53.59071,15.14864,Korytowo,pozycja nie zweryfikowana,,,
0778981-1,53.55754,15.00720,Maciejewo,pozycja nie zweryfikowana,,,
0778998-1,53.536137,15.093391,Maszewko,pozycja nie zweryfikowana,,,
0779006-1,53.52808,15.21085,Mokre,pozycja nie zweryfikowana,,,
0779012-1,53.504678,15.183696,Nastazin,pozycja nie zweryfikowana,,,
0779041-1,53.46204,14.92971,Przemocze 1,pozycja nie zweryfikowana,,,
0779041-2,53.45836,14.93087,Przemocze,pozycja nie zweryfikowana,,,
0779058-1,53.50247,15.01898,Radzanek,pozycja nie zweryfikowana,,,
0779058-2,53.51449,15.03818,Kolonia Radzanek,pozycja nie zweryfikowana,,,
