service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
D,1,1,1,1,1,0,0,20260101,20270101
Dn,1,1,1,1,1,0,0,20260101,20270101
Dnz*,1,1,1,1,1,0,0,20260101,20270101
E,1,1,1,1,1,1,0,20260101,20270101
En,1,1,1,1,1,1,0,20260101,20270101
E 7,1,1,1,1,1,1,1,20260101,20270101
En 7,1,1,1,1,1,1,1,20260101,20270101
Enz*,1,1,1,1,1,1,0,20260101,20270101
Enz*7,1,1,1,1,1,1,1,20260101,20270101
6,0,0,0,0,0,1,0,20260101,20270101
6nz*,0,0,0,0,0,1,0,20260101,20270101
6 7,0,0,0,0,0,1,1,20260101,20270101
S 6,1,1,1,1,1,1,0,20260901,20270101
S 6 7,1,1,1,1,1,1,1,20260901,20270101
