service_id,date,exception_type
Enz*7,20260106,2
6,20260106,2
6nz*,20260106,2
6 7,20260106,2
S 6,20260106,2
S 6 7,20260106,2
D,20260106,2
Dn,20260106,2
Dnz*,20260106,2
E,20260106,2
En,20260106,2
E 7,20260106,2
En 7,20260106,2
Enz*,20260106,2
Enz*7,20260405,2
6,20260405,2
6nz*,20260405,2
6 7,20260405,2
S 6,20260405,2
S 6 7,20260405,2
D,20260405,2
Dn,20260405,2
Dnz*,20260405,2
E,20260405,2
En,20260405,2
E 7,20260405,2
En 7,20260405,2
Enz*,20260405,2
Enz*7,20260501,2
6,20260501,2
6nz*,20260501,2
6 7,20260501,2
S 6,20260501,2
S 6 7,20260501,2
D,20260501,2
Dn,20260501,2
Dnz*,20260501,2
E,20260501,2
En,20260501,2
E 7,20260501,2
En 7,20260501,2
Enz*,20260501,2
Enz*7,20260503,2
6,20260503,2
6nz*,20260503,2
6 7,20260503,2
S 6,20260503,2
S 6 7,20260503,2
D,20260503,2
Dn,20260503,2
Dnz*,20260503,2
E,20260503,2
En,20260503,2
E 7,20260503,2
En 7,20260503,2
Enz*,20260503,2
Enz*7,20260604,2
6,20260604,2
6nz*,20260604,2
6 7,20260604,2
S 6,20260604,2
S 6 7,20260604,2
D,20260604,2
Dn,20260604,2
Dnz*,20260604,2
E,20260604,2
En,20260604,2
E 7,20260604,2
En 7,20260604,2
Enz*,20260604,2
Enz*7,20260815,2
6,20260815,2
6nz*,20260815,2
6 7,20260815,2
S 6,20260815,2
S 6 7,20260815,2
D,20260815,2
Dn,20260815,2
Dnz*,20260815,2
E,20260815,2
En,20260815,2
E 7,20260815,2
En 7,20260815,2
Enz*,20260815,2
Enz*7,20261111,2
6,20261111,2
6nz*,20261111,2
6 7,20261111,2
S 6,20261111,2
S 6 7,20261111,2
D,20261111,2
Dn,20261111,2
Dnz*,20261111,2
E,20261111,2
En,20261111,2
E 7,20261111,2
En 7,20261111,2
Enz*,20261111,2
Enz*7,20261225,2
6,20261225,2
6nz*,20261225,2
6 7,20261225,2
S 6,20261225,2
S 6 7,20261225,2
D,20261225,2
Dn,20261225,2
Dnz*,20261225,2
E,20261225,2
En,20261225,2
E 7,20261225,2
En 7,20261225,2
Enz*,20261225,2
Enz*7,20261226,2
6,20261226,2
6nz*,20261226,2
6 7,20261226,2
S 6,20261226,2
S 6 7,20261226,2
D,20261226,2
Dn,20261226,2
Dnz*,20261226,2
E,20261226,2
En,20261226,2
E 7,20261226,2
En 7,20261226,2
Enz*,20261226,2
Dnz*,20260404,2
Dnz*,20261224,2
Dnz*,20261231,2
En,20260404,2
En,20261224,2
En,20261231,2
En 7,20260404,2
En 7,20261224,2
En 7,20261231,2
Enz*,20260404,2
Enz*,20261224,2
Enz*,20261231,2
Enz*7,20260404,2
Enz*7,20261224,2
Enz*7,20261231,2
6nz*,20260404,2
6nz*,20261224,2
6nz*,20261231,2
Dnz*,20260605,2
Enz*,20260605,2
Enz*7,20260605,2
6nz*,20260605,2
Dnz*,20260502,2
Enz*,20260502,2
Enz*7,20260502,2
6nz*,20260502,2
