area_id,stop_id
gm,BiJW
gm,BiNW
gm,BiKo
gm,CsPZ
gm,JeJ
gm,JeNP
gm,JeS
gm,KoCh
gm,KoSk
gm,KoJe
gm,KoSzk
gm,KoSzn
gm,KoZi
gm,Ku
gm,KuP
gm,KuPn
gm,KuSzk
gm,MiPP
gm,MrzCh
gm,MrzN
gm,MrzOP
gm,MrzP
gm,MrzSJ
gm,MrzSP
gm,MtK
gm,MtN
gm,MtS
gm,MtW
gm,NiP
gm,NiSB
gm,NiSp
gm,NiSw
gm,RePi
gm,RePP
gm,RePn
gm,ReRz
gm,ReSM
gm,ReSzk
gm,ReZ
gm,Rek
st,St15p
st,StCz
st,StLip
st,StLSz
st,StSPZ
st,StSS
st,StSWz
st,StWi
st,StZCP5
gm,Wi
gm,ZiPo
gm,ZiD
gm,ZiP
gm,ZiK
sz,SzLm
sz,SzWy
sz,SzPr
sz,SzBG
sz,SzW
sz,SzKi
sz,SzPm
